,id,place,speedrun_link,submitted_date,primary_time_seconds,real_time_seconds,player_id,player_name,player_country,platform,verified
0,zp56lrry,1,https://www.speedrun.com/sm64/runs/zp56lrry,2025-12-31T06:00:33Z,374.19,374.19,jn32931x,Suigi,Canada,N64,Yes
1,m3vr6ggz,2,https://www.speedrun.com/sm64/runs/m3vr6ggz,2025-06-07T14:30:24Z,379.14,379.14,8wkzer38,Parsee02,Japan,N64,Yes
2,yo5x381z,3,https://www.speedrun.com/sm64/runs/yo5x381z,2026-01-05T18:38:06Z,379.73,379.73,qj2rklpx,cjrokokomero,Italy,N64,Yes
3,z02er88m,4,https://www.speedrun.com/sm64/runs/z02er88m,2026-02-23T14:07:18Z,383.31,383.31,j2www16j,treybordo,United States,N64,Yes
4,z00x1qoz,5,https://www.speedrun.com/sm64/runs/z00x1qoz,2025-07-18T18:02:33Z,385.1,385.1,xkmnnmmj,ZUMMI,Italy,EMU,Yes
5,y8l3jq5m,6,https://www.speedrun.com/sm64/runs/y8l3jq5m,2026-02-18T16:26:29Z,385.48,385.48,xkzm1z9x,MmaARriOy_,Japan,N64,Yes
6,ydl4l90z,7,https://www.speedrun.com/sm64/runs/ydl4l90z,2024-10-21T11:26:05Z,386.4,386.4,xk3nmqk8,DuckTapeDuck,,EMU,Yes
7,ywjg8w9z,8,https://www.speedrun.com/sm64/runs/ywjg8w9z,2022-02-12T20:34:19Z,387.38,387.38,7j40gpw8,cuas,,N64,Yes
8,yd4elvqy,9,https://www.speedrun.com/sm64/runs/yd4elvqy,2025-06-16T00:12:26Z,390.02,390.02,18q652oj,Poke,United States,N64,Yes
9,mr988ogm,10,https://www.speedrun.com/sm64/runs/mr988ogm,2020-09-19T08:25:25Z,392.15,392.15,kj92gmv8,Dowsky,United States,N64,Yes
10,y6qdo8pz,11,https://www.speedrun.com/sm64/runs/y6qdo8pz,2023-10-26T00:53:17Z,393.1,393.1,8vkrw22j,Tag609,United States,N64,Yes
11,zqpen89m,12,https://www.speedrun.com/sm64/runs/zqpen89m,2025-07-10T23:05:39Z,395.03,395.03,86nnlvqx,Banova8,France,N64,Yes
12,y6j87r6m,13,https://www.speedrun.com/sm64/runs/y6j87r6m,2025-08-15T22:43:12Z,395.12,395.12,48gqo07j,darkdog47,United States,N64,Yes
13,y9wo492z,14,https://www.speedrun.com/sm64/runs/y9wo492z,2025-09-26T19:51:39Z,395.35,395.35,8r2w1n3x,Kinosura,France,N64,Yes
14,z05qlpom,15,https://www.speedrun.com/sm64/runs/z05qlpom,2020-07-18T16:17:57Z,398.23,398.23,7j40gpw8,cuas,,EMU,Yes
15,y2221wjy,16,https://www.speedrun.com/sm64/runs/y2221wjy,2024-05-13T14:29:08Z,400.45,400.45,18qowewj,Majoog,South Korea,N64,Yes
16,y6en9gpz,17,https://www.speedrun.com/sm64/runs/y6en9gpz,2024-08-24T10:15:39Z,401.9,401.9,8ew0dk28,NotGorilla,Sweden,EMU,No
17,y9w00knz,18,https://www.speedrun.com/sm64/runs/y9w00knz,2025-10-19T09:46:48Z,403.13,403.13,xk3nmqk8,DuckTapeDuck,,N64,Yes
18,z19g6w9m,19,https://www.speedrun.com/sm64/runs/z19g6w9m,2024-04-23T22:47:56Z,403.43,403.43,7j40gpw8,cuas,,VC,Yes
19,zg89j6ey,20,https://www.speedrun.com/sm64/runs/zg89j6ey,2024-01-19T02:59:26Z,403.9,403.9,jmolpwo8,Raisn,Germany,N64,Yes
20,8yv24rem,21,https://www.speedrun.com/sm64/runs/8yv24rem,2015-08-07T21:20:12Z,404.23,404.23,,,,N64,Yes
21,z1v58d7z,22,https://www.speedrun.com/sm64/runs/z1v58d7z,2024-12-25T19:01:37Z,404.6,404.6,kjprmwk8,Weegee,United States,N64,Yes
22,yv7nkd6y,23,https://www.speedrun.com/sm64/runs/yv7nkd6y,2025-08-09T04:24:59Z,404.66,404.66,81q1oq5j,Ian_1243,Peru,EMU,Yes
23,dy4jg0ny,24,https://www.speedrun.com/sm64/runs/dy4jg0ny,2016-10-25T19:03:39Z,404.7,404.7,o866w58z,Xiah,Japan,N64,Yes
24,y4nl46km,25,https://www.speedrun.com/sm64/runs/y4nl46km,2025-08-03T02:16:48Z,405.23,405.23,jo3w720j,JumboJolt,Antarctica,EMU,Yes
25,z17qx99z,26,https://www.speedrun.com/sm64/runs/z17qx99z,2025-12-13T13:37:11Z,405.25,405.25,1xy05zjr,turara32767,Japan,N64,Yes
26,mrr912dm,27,https://www.speedrun.com/sm64/runs/mrr912dm,2022-08-17T05:40:11Z,405.67,405.67,68w4ro4x,wara,Japan,N64,Yes
27,zxxd815z,28,https://www.speedrun.com/sm64/runs/zxxd815z,2024-08-03T12:44:00Z,406.4,406.4,xzlelze8,xWicko,Australia,N64,Yes
28,y2g8507z,29,https://www.speedrun.com/sm64/runs/y2g8507z,2023-08-04T09:13:52Z,408.03,408.03,xyrqdwmj,Zhilkan,Spain,EMU,Yes
29,yd1ervvy,30,https://www.speedrun.com/sm64/runs/yd1ervvy,2022-08-28T16:25:19Z,408.4,408.4,qjoolrej,nobori56,Japan,N64,Yes
30,y6r7wn0y,31,https://www.speedrun.com/sm64/runs/y6r7wn0y,2020-09-17T07:21:59Z,408.99,408.99,1xy9p1vj,taihou,Japan,EMU,No
31,m7g1k9em,32,https://www.speedrun.com/sm64/runs/m7g1k9em,2020-03-31T00:27:14Z,409.08,409.08,dx35yzej,TriforceTK,United States,EMU,Yes
32,z0x6goez,33,https://www.speedrun.com/sm64/runs/z0x6goez,2023-10-21T09:38:26Z,409.57,409.57,qj23lpxk,Miton,Japan,N64,Yes
33,ydoqrrvz,34,https://www.speedrun.com/sm64/runs/ydoqrrvz,2025-09-29T06:57:05Z,410.16,410.16,18qowewj,Majoog,South Korea,VC,Yes
34,y48v3wqm,35,https://www.speedrun.com/sm64/runs/y48v3wqm,2022-03-10T23:43:58Z,410.17,410.17,0jm36qe8,Xein64,Germany,N64,Yes
35,yjeqq93m,36,https://www.speedrun.com/sm64/runs/yjeqq93m,2025-03-18T20:19:40Z,411.13,411.13,x7z7pey8,Everchix,Japan,N64,Yes
36,y863kjdm,37,https://www.speedrun.com/sm64/runs/y863kjdm,2023-04-27T13:54:06Z,411.16,411.16,18qowewj,Majoog,South Korea,EMU,Yes
37,z5pqggjm,38,https://www.speedrun.com/sm64/runs/z5pqggjm,2023-08-29T08:36:22Z,412.05,412.05,j96ww5vj,asandal,United States,N64,Yes
